Start Date,Start Hour,holiday_ind,Weekend,Prev_value,Energy_per_hour
1/1/2019,0,1,0,7.27,7.274482759
1/1/2019,1,1,0,6.4,6.4
1/1/2019,2,1,0,3.3,3.3
1/1/2019,3,1,0,2.1,2.1
1/1/2019,4,1,0,1.3,1.3
1/1/2019,5,1,0,1.2,1.2
1/1/2019,6,1,0,6.7896,6.7896
1/1/2019,7,1,0,8.099681818,8.099681818
1/1/2019,8,1,0,11.00653846,11.00653846
1/1/2019,9,1,0,6.611803279,6.611803279
1/1/2019,10,1,0,5.382859024,5.382859024
1/1/2019,11,1,0,5.387755102,5.387755102
1/1/2019,12,1,0,15.78071625,15.78071625
1/1/2019,13,1,0,6.95,6.95
1/1/2019,14,1,0,13.486875,13.486875
1/1/2019,15,1,0,9.453513191,9.453513191
1/1/2019,16,1,0,6.131395349,6.131395349
1/1/2019,17,1,0,6.7246875,6.7246875
1/1/2019,18,1,0,7.831180481,7.831180481
1/1/2019,19,1,0,10.00291498,10.00291498
1/1/2019,20,1,0,6.843,6.843
1/1/2019,21,1,0,9.403,9.403
1/1/2019,22,1,0,3.12,3.12
1/1/2019,23,1,0,8.4652,8.4652
1/2/2019,7,0,0,8.099681818,8.099681818
1/2/2019,8,0,0,11.00653846,9.816259679
1/2/2019,9,0,0,6.611803279,3.573
1/2/2019,10,0,0,5.382859024,5.382859024
1/2/2019,11,0,0,5.387755102,5.387755102
1/2/2019,12,0,0,15.78071625,15.78071625
1/2/2019,13,0,0,6.95,7.075065672
1/2/2019,14,0,0,13.486875,13.486875
1/2/2019,15,0,0,9.453513191,6.485
1/2/2019,17,0,0,6.7246875,3.752783505
1/2/2019,18,0,0,7.831180481,7.831180481
1/2/2019,21,0,0,9.403,9.403644985
1/3/2019,5,0,0,1.2,7.037395644
1/3/2019,6,0,0,6.7896,8.852669173
1/3/2019,7,0,0,8.099681818,2.706268657
1/3/2019,8,0,0,9.816259679,12.61289283
1/3/2019,9,0,0,3.573,6.915785322
1/3/2019,11,0,0,5.387755102,3.164179104
1/3/2019,12,0,0,15.78071625,5.972272727
1/3/2019,13,0,0,7.075065672,7.439504854
1/3/2019,14,0,0,13.486875,2.366
1/3/2019,15,0,0,6.485,6.975319149
1/3/2019,16,0,0,6.131395349,12.2539105
1/3/2019,17,0,0,3.752783505,3.947279152
1/3/2019,18,0,0,7.831180481,17.50125662
1/3/2019,19,0,0,10.00291498,7.510987117
1/3/2019,21,0,0,9.403644985,6.625263158
1/3/2019,23,0,0,8.4652,6.992727273
1/4/2019,5,0,0,7.037395644,6.670220339
1/4/2019,6,0,0,8.852669173,9.724618182
1/4/2019,7,0,0,2.706268657,3.108387097
1/4/2019,8,0,0,12.61289283,7.023129097
1/4/2019,9,0,0,6.915785322,6.103333333
1/4/2019,10,0,0,5.382859024,2.0432
1/4/2019,11,0,0,3.164179104,12.16450314
1/4/2019,12,0,0,5.972272727,3.351755725
1/4/2019,13,0,0,7.439504854,13.58848911
1/4/2019,14,0,0,2.366,2.8656
1/4/2019,15,0,0,6.975319149,19.2050189
1/4/2019,16,0,0,12.2539105,5.673669065
1/4/2019,17,0,0,3.947279152,15.56027282
1/4/2019,18,0,0,17.50125662,4.623130435
1/4/2019,19,0,0,7.510987117,6.66
1/4/2019,20,0,0,6.843,6.843673469
1/4/2019,21,0,0,6.625263158,2.895555556
1/4/2019,23,0,0,6.992727273,7.340294118
1/5/2019,8,0,1,7.023129097,10.02856566
1/5/2019,9,0,1,6.103333333,13.25179351
1/5/2019,10,0,1,2.0432,6.514782609
1/5/2019,11,0,1,12.16450314,13.97999549
1/5/2019,12,0,1,3.351755725,17.90339802
1/5/2019,14,0,1,2.8656,19.19017941
1/5/2019,16,0,1,5.673669065,2.331964286
1/5/2019,17,0,1,15.56027282,8.870909091
1/5/2019,18,0,1,4.623130435,7.06
1/5/2019,19,0,1,6.66,10.78588525
1/5/2019,21,0,1,2.895555556,6.276665953
1/5/2019,22,0,1,3.12,1.680795756
1/6/2019,10,0,1,6.514782609,13.1818071
1/6/2019,13,0,1,13.58848911,3.707368421
1/6/2019,14,0,1,19.19017941,17.91455993
1/6/2019,16,0,1,2.331964286,5.344074942
1/6/2019,18,0,1,7.06,3.70507772
1/6/2019,20,0,1,6.843673469,11.33319879
1/6/2019,22,0,1,1.680795756,6.71028169
1/7/2019,5,0,0,6.670220339,6.81876
1/7/2019,6,0,0,9.724618182,3.32587156
1/7/2019,7,0,0,3.108387097,3.184
1/7/2019,8,0,0,10.02856566,10.62971396
1/7/2019,9,0,0,13.25179351,3.580285714
1/7/2019,10,0,0,13.1818071,4.899615385
1/7/2019,11,0,0,13.97999549,10.99453184
1/7/2019,12,0,0,17.90339802,3.688047337
1/7/2019,13,0,0,3.707368421,21.70720529
1/7/2019,14,0,0,17.91455993,5.782285714
1/7/2019,15,0,0,19.2050189,3.234
1/7/2019,16,0,0,5.344074942,9.539072921
